model,qid,type,hit@5,first_hit_rank,query_ms
e5-large,a01,조항지정,1,1,81
e5-large,a02,조항지정,1,2,43
e5-large,a03,조항지정,1,1,11
e5-large,a04,조항지정,0,-,12
e5-large,a05,조항지정,1,3,11
e5-large,a06,조항지정,1,1,12
e5-large,a07,조항지정,0,-,13
e5-large,a08,조항지정,1,1,11
e5-large,a09,조항지정,1,1,10
e5-large,a10,조항지정,1,1,12
e5-large,a11,조항지정,1,1,11
e5-large,a12,조항지정,1,1,11
e5-large,a13,조항지정,1,1,11
e5-large,a14,조항지정,1,1,11
e5-large,a15,구어체,1,1,11
e5-large,a16,구어체,1,1,13
e5-large,a17,구어체,1,1,10
e5-large,a18,구어체,1,1,12
e5-large,a19,구어체,0,-,12
e5-large,a20,구어체,0,-,11
e5-large,a21,구어체,1,1,11
e5-large,a22,구어체,0,-,11
e5-large,a23,표숫자,0,-,11
e5-large,a24,필터교차,1,1,13
e5-large,a25,필터교차,1,3,12
e5-large,a26,필터교차,0,-,11
e5-large,a27,필터교차,1,1,17
e5-large,a28,필터교차,1,1,12
e5-large,a29,필터교차,1,4,13
e5-large,a30,필터교차,1,2,12
e5-large,a31,필터교차,0,-,12
e5-large,a32,필터교차,0,-,13
e5-large,a33,필터교차,1,1,12
e5-large,a34,필터교차,1,1,11
e5-large,a35,필터교차2중,1,1,12
e5-large,a36,필터교차2중,1,1,13
e5-large,a37,필터교차2중,1,1,13
e5-large,a38,필터교차2중,1,1,14
e5-large,a39,필터교차2중,1,1,12
e5-large,a40,필터교차2중,1,3,12
e5-large,a41,필터교차2중,1,1,11
e5-large,a42,필터교차2중,1,1,12
e5-large,a43,필터교차2중,1,1,15
e5-large,a44,필터교차2중,1,1,13
bge-m3,a01,조항지정,1,3,69
bge-m3,a02,조항지정,1,1,13
bge-m3,a03,조항지정,1,1,11
bge-m3,a04,조항지정,0,-,15
bge-m3,a05,조항지정,1,1,11
bge-m3,a06,조항지정,1,5,11
bge-m3,a07,조항지정,0,-,11
bge-m3,a08,조항지정,1,1,11
bge-m3,a09,조항지정,1,1,11
bge-m3,a10,조항지정,0,-,13
bge-m3,a11,조항지정,1,1,11
bge-m3,a12,조항지정,1,4,13
bge-m3,a13,조항지정,1,1,13
bge-m3,a14,조항지정,1,4,12
bge-m3,a15,구어체,1,1,14
bge-m3,a16,구어체,1,1,12
bge-m3,a17,구어체,1,1,10
bge-m3,a18,구어체,1,1,11
bge-m3,a19,구어체,1,1,11
bge-m3,a20,구어체,0,-,12
bge-m3,a21,구어체,1,2,15
bge-m3,a22,구어체,0,-,13
bge-m3,a23,표숫자,0,-,13
bge-m3,a24,필터교차,1,1,13
bge-m3,a25,필터교차,0,-,13
bge-m3,a26,필터교차,1,5,15
bge-m3,a27,필터교차,1,1,13
bge-m3,a28,필터교차,1,2,13
bge-m3,a29,필터교차,0,-,12
bge-m3,a30,필터교차,0,-,14
bge-m3,a31,필터교차,0,-,14
bge-m3,a32,필터교차,1,1,12
bge-m3,a33,필터교차,1,1,12
bge-m3,a34,필터교차,1,1,12
bge-m3,a35,필터교차2중,1,1,12
bge-m3,a36,필터교차2중,1,1,16
bge-m3,a37,필터교차2중,1,1,13
bge-m3,a38,필터교차2중,1,1,12
bge-m3,a39,필터교차2중,1,1,13
