model,qid,type,hit@5,first_hit_rank,query_ms
bge-m3,a40,필터교차2중,1,1,12
bge-m3,a41,필터교차2중,1,1,14
bge-m3,a42,필터교차2중,1,1,13
bge-m3,a43,필터교차2중,1,1,12
bge-m3,a44,필터교차2중,1,1,12
kure-v1,a01,조항지정,1,5,72
kure-v1,a02,조항지정,1,1,13
kure-v1,a03,조항지정,1,2,11
kure-v1,a04,조항지정,0,-,12
kure-v1,a05,조항지정,0,-,11
kure-v1,a06,조항지정,1,2,11
kure-v1,a07,조항지정,0,-,11
kure-v1,a08,조항지정,1,3,12
kure-v1,a09,조항지정,1,1,12
kure-v1,a10,조항지정,1,3,11
kure-v1,a11,조항지정,1,1,11
kure-v1,a12,조항지정,1,1,11
kure-v1,a13,조항지정,1,1,11
kure-v1,a14,조항지정,1,4,12
kure-v1,a15,구어체,1,1,11
kure-v1,a16,구어체,1,1,12
kure-v1,a17,구어체,1,1,11
kure-v1,a18,구어체,1,1,12
kure-v1,a19,구어체,0,-,11
kure-v1,a20,구어체,0,-,12
kure-v1,a21,구어체,1,1,11
kure-v1,a22,구어체,0,-,12
kure-v1,a23,표숫자,0,-,11
kure-v1,a24,필터교차,1,5,12
kure-v1,a25,필터교차,0,-,16
kure-v1,a26,필터교차,1,1,13
kure-v1,a27,필터교차,1,1,13
kure-v1,a28,필터교차,1,2,14
kure-v1,a29,필터교차,0,-,12
kure-v1,a30,필터교차,1,2,16
kure-v1,a31,필터교차,0,-,14
kure-v1,a32,필터교차,1,2,13
kure-v1,a33,필터교차,1,1,12
kure-v1,a34,필터교차,1,1,12
kure-v1,a35,필터교차2중,1,1,16
kure-v1,a36,필터교차2중,1,1,14
kure-v1,a37,필터교차2중,1,1,13
kure-v1,a38,필터교차2중,1,1,13
kure-v1,a39,필터교차2중,1,1,15
kure-v1,a40,필터교차2중,1,1,17
kure-v1,a41,필터교차2중,1,1,13
kure-v1,a42,필터교차2중,1,2,13
kure-v1,a43,필터교차2중,1,1,15
kure-v1,a44,필터교차2중,1,1,12
arctic-l-v2,a01,조항지정,1,2,83
arctic-l-v2,a02,조항지정,1,1,35
arctic-l-v2,a03,조항지정,1,1,15
arctic-l-v2,a04,조항지정,0,-,13
arctic-l-v2,a05,조항지정,1,2,12
arctic-l-v2,a06,조항지정,1,1,12
arctic-l-v2,a07,조항지정,0,-,16
arctic-l-v2,a08,조항지정,1,1,12
arctic-l-v2,a09,조항지정,1,1,13
arctic-l-v2,a10,조항지정,1,1,12
arctic-l-v2,a11,조항지정,1,1,12
arctic-l-v2,a12,조항지정,1,1,13
arctic-l-v2,a13,조항지정,1,1,12
arctic-l-v2,a14,조항지정,0,-,14
arctic-l-v2,a15,구어체,1,1,15
arctic-l-v2,a16,구어체,1,1,13
arctic-l-v2,a17,구어체,1,1,13
arctic-l-v2,a18,구어체,1,1,12
arctic-l-v2,a19,구어체,1,4,18
arctic-l-v2,a20,구어체,0,-,13
arctic-l-v2,a21,구어체,1,2,12
arctic-l-v2,a22,구어체,1,1,14
arctic-l-v2,a23,표숫자,0,-,13
arctic-l-v2,a24,필터교차,1,1,15
arctic-l-v2,a25,필터교차,1,1,15
arctic-l-v2,a26,필터교차,0,-,15
arctic-l-v2,a27,필터교차,1,1,17
arctic-l-v2,a28,필터교차,1,1,18
arctic-l-v2,a29,필터교차,1,1,17
arctic-l-v2,a30,필터교차,1,3,15
arctic-l-v2,a31,필터교차,1,3,15
arctic-l-v2,a32,필터교차,1,3,21
arctic-l-v2,a33,필터교차,1,1,13
arctic-l-v2,a34,필터교차,1,1,16
arctic-l-v2,a35,필터교차2중,1,1,17
arctic-l-v2,a36,필터교차2중,1,1,24
arctic-l-v2,a37,필터교차2중,1,1,18
arctic-l-v2,a38,필터교차2중,1,1,16
arctic-l-v2,a39,필터교차2중,1,1,18
arctic-l-v2,a40,필터교차2중,1,2,17
arctic-l-v2,a41,필터교차2중,1,1,17
arctic-l-v2,a42,필터교차2중,1,1,16
arctic-l-v2,a43,필터교차2중,1,1,17
arctic-l-v2,a44,필터교차2중,1,1,20
arctic-ko,a01,조항지정,1,1,76
arctic-ko,a02,조항지정,1,1,13
arctic-ko,a03,조항지정,1,1,15
arctic-ko,a04,조항지정,0,-,13
arctic-ko,a05,조항지정,1,1,12
arctic-ko,a06,조항지정,1,1,15
arctic-ko,a07,조항지정,0,-,16
arctic-ko,a08,조항지정,1,1,12
arctic-ko,a09,조항지정,1,1,12
arctic-ko,a10,조항지정,1,1,13
arctic-ko,a11,조항지정,1,1,15
arctic-ko,a12,조항지정,1,1,12
arctic-ko,a13,조항지정,1,1,11
arctic-ko,a14,조항지정,0,-,13
arctic-ko,a15,구어체,1,2,11
arctic-ko,a16,구어체,1,1,10
arctic-ko,a17,구어체,1,1,12
arctic-ko,a18,구어체,1,1,12
arctic-ko,a19,구어체,0,-,11
arctic-ko,a20,구어체,0,-,12
arctic-ko,a21,구어체,1,1,12
arctic-ko,a22,구어체,1,2,15
arctic-ko,a23,표숫자,0,-,12
arctic-ko,a24,필터교차,1,1,15
arctic-ko,a25,필터교차,1,2,14
arctic-ko,a26,필터교차,1,4,14
arctic-ko,a27,필터교차,1,1,18
arctic-ko,a28,필터교차,1,1,14
arctic-ko,a29,필터교차,1,1,15
arctic-ko,a30,필터교차,1,5,14
arctic-ko,a31,필터교차,0,-,20
arctic-ko,a32,필터교차,1,3,15
arctic-ko,a33,필터교차,1,1,13
arctic-ko,a34,필터교차,1,1,11
arctic-ko,a35,필터교차2중,1,1,16
arctic-ko,a36,필터교차2중,1,1,18
arctic-ko,a37,필터교차2중,1,1,18
arctic-ko,a38,필터교차2중,1,1,15
arctic-ko,a39,필터교차2중,1,1,17
arctic-ko,a40,필터교차2중,1,1,18
arctic-ko,a41,필터교차2중,1,1,17
arctic-ko,a42,필터교차2중,1,1,17
arctic-ko,a43,필터교차2중,1,1,18
arctic-ko,a44,필터교차2중,1,1,18
qwen3-embed-4b,a01,조항지정,1,2,336
qwen3-embed-4b,a02,조항지정,1,3,241
qwen3-embed-4b,a03,조항지정,1,1,241
qwen3-embed-4b,a04,조항지정,0,-,225
qwen3-embed-4b,a05,조항지정,1,1,299
qwen3-embed-4b,a06,조항지정,1,1,256
qwen3-embed-4b,a07,조항지정,0,-,329
qwen3-embed-4b,a08,조항지정,1,1,267
qwen3-embed-4b,a09,조항지정,1,1,221
qwen3-embed-4b,a10,조항지정,0,-,264
qwen3-embed-4b,a11,조항지정,1,1,254
qwen3-embed-4b,a12,조항지정,1,2,273
qwen3-embed-4b,a13,조항지정,1,1,236
qwen3-embed-4b,a14,조항지정,1,5,214
qwen3-embed-4b,a15,구어체,1,1,202
qwen3-embed-4b,a16,구어체,1,1,199
qwen3-embed-4b,a17,구어체,1,1,219
qwen3-embed-4b,a18,구어체,1,1,237
qwen3-embed-4b,a19,구어체,1,4,214
qwen3-embed-4b,a20,구어체,0,-,224
qwen3-embed-4b,a21,구어체,1,1,198
qwen3-embed-4b,a22,구어체,0,-,228
qwen3-embed-4b,a23,표숫자,0,-,233
qwen3-embed-4b,a24,필터교차,1,1,228
qwen3-embed-4b,a25,필터교차,0,-,229
qwen3-embed-4b,a26,필터교차,1,3,248
qwen3-embed-4b,a27,필터교차,1,1,233
qwen3-embed-4b,a28,필터교차,1,1,249
qwen3-embed-4b,a29,필터교차,1,1,252
qwen3-embed-4b,a30,필터교차,0,-,214
qwen3-embed-4b,a31,필터교차,0,-,208
qwen3-embed-4b,a32,필터교차,0,-,215
qwen3-embed-4b,a33,필터교차,1,1,193
qwen3-embed-4b,a34,필터교차,1,1,208
qwen3-embed-4b,a35,필터교차2중,1,1,194
qwen3-embed-4b,a36,필터교차2중,1,1,203
qwen3-embed-4b,a37,필터교차2중,1,1,197
qwen3-embed-4b,a38,필터교차2중,1,1,205
qwen3-embed-4b,a39,필터교차2중,1,1,202
qwen3-embed-4b,a40,필터교차2중,1,1,204
qwen3-embed-4b,a41,필터교차2중,1,1,201
qwen3-embed-4b,a42,필터교차2중,1,1,199
qwen3-embed-4b,a43,필터교차2중,1,1,198
qwen3-embed-4b,a44,필터교차2중,1,1,201
nemotron-1b,a01,조항지정,0,-,135
nemotron-1b,a02,조항지정,1,1,104
nemotron-1b,a03,조항지정,1,1,42
nemotron-1b,a04,조항지정,0,-,34
nemotron-1b,a05,조항지정,0,-,46
nemotron-1b,a06,조항지정,1,2,41
nemotron-1b,a07,조항지정,0,-,33
nemotron-1b,a08,조항지정,0,-,45
nemotron-1b,a09,조항지정,1,3,20
nemotron-1b,a10,조항지정,0,-,24
nemotron-1b,a11,조항지정,1,3,22
nemotron-1b,a12,조항지정,0,-,42
nemotron-1b,a13,조항지정,1,1,25
nemotron-1b,a14,조항지정,0,-,22
nemotron-1b,a15,구어체,0,-,22
nemotron-1b,a16,구어체,1,2,26
nemotron-1b,a17,구어체,1,2,25
nemotron-1b,a18,구어체,1,3,26
nemotron-1b,a19,구어체,1,1,41
nemotron-1b,a20,구어체,0,-,26
nemotron-1b,a21,구어체,0,-,22
nemotron-1b,a22,구어체,0,-,20
nemotron-1b,a23,표숫자,0,-,25
nemotron-1b,a24,필터교차,1,5,39
nemotron-1b,a25,필터교차,0,-,35
nemotron-1b,a26,필터교차,0,-,25
nemotron-1b,a27,필터교차,1,1,29
nemotron-1b,a28,필터교차,0,-,29
nemotron-1b,a29,필터교차,0,-,33
nemotron-1b,a30,필터교차,0,-,27
nemotron-1b,a31,필터교차,0,-,34
nemotron-1b,a32,필터교차,0,-,26
nemotron-1b,a33,필터교차,1,2,24
nemotron-1b,a34,필터교차,1,2,25
nemotron-1b,a35,필터교차2중,1,2,28
nemotron-1b,a36,필터교차2중,1,1,45
nemotron-1b,a37,필터교차2중,1,1,32
nemotron-1b,a38,필터교차2중,1,2,33
nemotron-1b,a39,필터교차2중,1,2,47
nemotron-1b,a40,필터교차2중,0,-,36
nemotron-1b,a41,필터교차2중,1,1,28
nemotron-1b,a42,필터교차2중,1,2,36
nemotron-1b,a43,필터교차2중,0,-,33
nemotron-1b,a44,필터교차2중,1,1,34
qwen3-embed-0.6b,a01,조항지정,0,-,123
qwen3-embed-0.6b,a02,조항지정,1,2,43
qwen3-embed-0.6b,a03,조항지정,1,1,37
qwen3-embed-0.6b,a04,조항지정,0,-,41
qwen3-embed-0.6b,a05,조항지정,1,1,46
qwen3-embed-0.6b,a06,조항지정,1,1,38
qwen3-embed-0.6b,a07,조항지정,0,-,43
qwen3-embed-0.6b,a08,조항지정,1,1,39
qwen3-embed-0.6b,a09,조항지정,1,1,62
qwen3-embed-0.6b,a10,조항지정,0,-,41
qwen3-embed-0.6b,a11,조항지정,1,1,40
qwen3-embed-0.6b,a12,조항지정,1,1,40
qwen3-embed-0.6b,a13,조항지정,1,4,44
qwen3-embed-0.6b,a14,조항지정,1,1,37
qwen3-embed-0.6b,a15,구어체,1,1,40
qwen3-embed-0.6b,a16,구어체,1,1,41
qwen3-embed-0.6b,a17,구어체,1,1,40
qwen3-embed-0.6b,a18,구어체,1,1,46
qwen3-embed-0.6b,a19,구어체,1,3,42
qwen3-embed-0.6b,a20,구어체,0,-,56
qwen3-embed-0.6b,a21,구어체,1,1,49
qwen3-embed-0.6b,a22,구어체,0,-,40
qwen3-embed-0.6b,a23,표숫자,0,-,39
qwen3-embed-0.6b,a24,필터교차,1,2,48
qwen3-embed-0.6b,a25,필터교차,0,-,44
qwen3-embed-0.6b,a26,필터교차,1,1,42
qwen3-embed-0.6b,a27,필터교차,1,1,42
qwen3-embed-0.6b,a28,필터교차,1,4,41
qwen3-embed-0.6b,a29,필터교차,0,-,44
qwen3-embed-0.6b,a30,필터교차,0,-,51
qwen3-embed-0.6b,a31,필터교차,0,-,72
qwen3-embed-0.6b,a32,필터교차,1,3,49
qwen3-embed-0.6b,a33,필터교차,1,1,41
qwen3-embed-0.6b,a34,필터교차,1,1,45
qwen3-embed-0.6b,a35,필터교차2중,1,1,47
qwen3-embed-0.6b,a36,필터교차2중,1,1,44
qwen3-embed-0.6b,a37,필터교차2중,1,2,46
qwen3-embed-0.6b,a38,필터교차2중,1,1,43
qwen3-embed-0.6b,a39,필터교차2중,1,2,43
qwen3-embed-0.6b,a40,필터교차2중,1,1,44
qwen3-embed-0.6b,a41,필터교차2중,1,1,46
qwen3-embed-0.6b,a42,필터교차2중,1,1,47
qwen3-embed-0.6b,a43,필터교차2중,1,1,54
qwen3-embed-0.6b,a44,필터교차2중,1,1,80
jina-v5-small,a01,조항지정,1,5,200
jina-v5-small,a02,조항지정,1,1,155
jina-v5-small,a03,조항지정,1,1,130
jina-v5-small,a04,조항지정,0,-,139
jina-v5-small,a05,조항지정,1,1,129
jina-v5-small,a06,조항지정,1,1,135
jina-v5-small,a07,조항지정,0,-,130
jina-v5-small,a08,조항지정,1,1,156
jina-v5-small,a09,조항지정,1,1,151
jina-v5-small,a10,조항지정,1,1,120
jina-v5-small,a11,조항지정,1,1,113
jina-v5-small,a12,조항지정,1,1,112
jina-v5-small,a13,조항지정,1,1,108
jina-v5-small,a14,조항지정,1,1,116
jina-v5-small,a15,구어체,1,1,111
jina-v5-small,a16,구어체,1,1,171
jina-v5-small,a17,구어체,1,1,173
jina-v5-small,a18,구어체,1,1,687
jina-v5-small,a19,구어체,0,-,159
jina-v5-small,a20,구어체,0,-,135
jina-v5-small,a21,구어체,1,1,138
jina-v5-small,a22,구어체,1,5,133
jina-v5-small,a23,표숫자,0,-,112
jina-v5-small,a24,필터교차,1,1,138
jina-v5-small,a25,필터교차,1,2,132
jina-v5-small,a26,필터교차,1,2,139
jina-v5-small,a27,필터교차,1,1,124
jina-v5-small,a28,필터교차,1,3,119
jina-v5-small,a29,필터교차,0,-,121
jina-v5-small,a30,필터교차,1,5,122
jina-v5-small,a31,필터교차,0,-,131
jina-v5-small,a32,필터교차,1,5,128
jina-v5-small,a33,필터교차,1,1,112
jina-v5-small,a34,필터교차,1,1,110
jina-v5-small,a35,필터교차2중,1,1,132
jina-v5-small,a36,필터교차2중,1,2,149
jina-v5-small,a37,필터교차2중,1,2,146
jina-v5-small,a38,필터교차2중,1,1,117
jina-v5-small,a39,필터교차2중,1,1,119
jina-v5-small,a40,필터교차2중,1,2,137
jina-v5-small,a41,필터교차2중,1,1,128
jina-v5-small,a42,필터교차2중,1,1,120
jina-v5-small,a43,필터교차2중,1,1,125
jina-v5-small,a44,필터교차2중,1,1,161
openai-3-small,a01,조항지정,1,4,331
openai-3-small,a02,조항지정,1,2,234
openai-3-small,a03,조항지정,1,5,251
openai-3-small,a04,조항지정,1,1,273
openai-3-small,a05,조항지정,1,2,273
openai-3-small,a06,조항지정,1,5,232
openai-3-small,a07,조항지정,1,1,275
openai-3-small,a08,조항지정,1,2,235
openai-3-small,a09,조항지정,1,1,241
openai-3-small,a10,조항지정,1,2,234
openai-3-small,a11,조항지정,1,1,332
openai-3-small,a12,조항지정,1,1,381
openai-3-small,a13,조항지정,1,1,265
openai-3-small,a14,조항지정,0,-,244
openai-3-small,a15,구어체,1,1,391
openai-3-small,a16,구어체,1,1,306
openai-3-small,a17,구어체,1,1,234
openai-3-small,a18,구어체,1,1,141
openai-3-small,a19,구어체,1,4,266
openai-3-small,a20,구어체,1,3,382
openai-3-small,a21,구어체,1,1,276
openai-3-small,a22,구어체,1,1,266
openai-3-small,a23,표숫자,0,-,283
openai-3-small,a24,필터교차,0,-,269
openai-3-small,a25,필터교차,0,-,281
openai-3-small,a26,필터교차,0,-,334
openai-3-small,a27,필터교차,0,-,282
openai-3-small,a28,필터교차,0,-,278
openai-3-small,a29,필터교차,0,-,250
openai-3-small,a30,필터교차,0,-,243
openai-3-small,a31,필터교차,0,-,252
openai-3-small,a32,필터교차,0,-,271
openai-3-small,a33,필터교차,1,4,289
openai-3-small,a34,필터교차,1,4,281
openai-3-small,a35,필터교차2중,1,4,315
openai-3-small,a36,필터교차2중,1,1,257
openai-3-small,a37,필터교차2중,0,-,247
openai-3-small,a38,필터교차2중,1,2,255
openai-3-small,a39,필터교차2중,1,2,256
openai-3-small,a40,필터교차2중,0,-,292
openai-3-small,a41,필터교차2중,0,-,268
openai-3-small,a42,필터교차2중,1,2,252
openai-3-small,a43,필터교차2중,1,5,306
openai-3-small,a44,필터교차2중,0,-,307
