model,qid,type,hit@5,first_hit_rank,query_ms,top1_citation
kure-v1,a11,조항지정,0,-,20,제7조(주계약 약관 규정의 준용) 제2항 제마호
kure-v1,a12,조항지정,1,2,14,p5 [표]
kure-v1,a13,조항지정,0,-,14,p5 [표]
kure-v1,a14,조항지정,1,3,17,7(보험금의 지급절차) 제1항
kure-v1,a15,조항지정,1,1,15,7(보험금의 지급절차) 제1항
kure-v1,a16,구어체,1,1,14,제3조(보장종목별 보상내용) 제1항
kure-v1,a17,구어체,1,1,14,제3조(보장종목별보상내용) [표]
kure-v1,a18,구어체,1,1,14,p31 [표]
kure-v1,a19,구어체,1,1,13,제37조(보험계약대출) [표]
kure-v1,a20,구어체,0,-,16,제7조(보험가입금액 한도 등에 대한 설명 의무) [표]
kure-v1,a21,구어체,0,-,15,제7조(보험가입금액 한도 등에 대한 설명 의무) [표]
kure-v1,a22,구어체,1,1,15,제1조(보장종목) [표]
kure-v1,a23,구어체,1,1,15,제2조(상해통원) [표]
kure-v1,a24,구어체,1,1,17,제3조(담보종목별 보장내용) [표]
kure-v1,a25,구어체,1,1,18,p27 [표]
kure-v1,a26,구어체,1,1,19,제3조(의료기관) [표]
kure-v1,a27,구어체,1,2,20,제3조(보장종목별 보상내용) [표]
kure-v1,a28,구어체,1,3,19,제4조(보상하지 않는 사항) 제3항 제15호
kure-v1,a29,구어체,1,3,16,3(보장종목별 보상내용) 제3항
kure-v1,a30,구어체,1,2,16,제25조(계약의 보장내용 변경주기 및 재가입) 제8항
kure-v1,a31,구어체,1,1,15,제44조(계약의갱신및보험기간) 제1항
kure-v1,a32,구어체,1,1,15,제29조(계약자의임의해지) 제1항
kure-v1,a33,구어체,1,2,17,제46조(갱신계약 제1회 보험료의 납입최고(독촉)
kure-v1,a34,구어체,1,2,18,7(보험금의 지급절차) 제1항
kure-v1,a35,구어체,1,1,18,제6조(보험금의 청구) 제1항
kure-v1,a36,구어체,0,-,17,제25조(계약의 보장내용 변경주기 및 재가입) 제1항
kure-v1,a37,구어체,1,2,19,제18조(보험금 지급에 관한 세부규정) 제1항
kure-v1,a38,구어체,0,-,14,4(보상하지 않는 사항) 제4항
kure-v1,a39,구어체,0,-,16,제13조(보건지소의 설치) 제5항 제나호
kure-v1,a40,구어체,1,1,15,p31 [표]
kure-v1,a41,구어체,1,1,13,제2조(용어의 정의) 제1항
kure-v1,a42,구어체,1,2,15,4(보상하지 않는 사항) 제4항
kure-v1,a43,구어체,1,2,15,p17 [표]
kure-v1,a44,구어체,1,1,14,p31 [표]
kure-v1,a45,구어체,1,1,14,제4조(보상하지않는사항) 제3항 제15호
kure-v1,a46,구어체,1,1,16,p19 [표]
kure-v1,a47,구어체,1,2,12,p331 [표]
kure-v1,a48,구어체,1,1,15,제4조(보상하지않는사항) 제3항 제1호
kure-v1,a49,구어체,1,5,13,p27 [표]
kure-v1,a50,구어체,1,1,15,제3조(보장종목별 보상내용) [표]
kure-v1,a51,구어체,1,1,16,제3조(보장종목별 보상내용) [표]
kure-v1,a52,표숫자,1,1,16,제3조(보장종목별보상내용) [표]
kure-v1,a53,표숫자,1,1,15,제37조(보험계약대출) [표]
kure-v1,a54,표숫자,1,1,15,제3조(보장종목별 보상내용) [표]
kure-v1,a55,표숫자,1,1,16,제5조(적용 대상 등) [표]
kure-v1,a56,표숫자,0,-,16,제6조(보험가입금액 한도 등) 제1항
kure-v1,a57,필터교차,1,1,17,3(보장종목별 보상내용) 제8항
kure-v1,a58,필터교차,1,1,18,p18 [표]
kure-v1,a59,필터교차,1,1,20,제14조(알릴 의무 위반의 효과) [표]
kure-v1,a60,필터교차,1,1,16,제14조(알릴 의무 위반의 효과) [표]
kure-v1,a61,필터교차,1,1,18,제3조(보장종목별 보상내용) 제3항
kure-v1,a62,필터교차,1,1,17,제3조(담보종목별 보장내용) [표]
kure-v1,a63,필터교차,1,1,17,제3조(보장종목별 보상내용) [표]
kure-v1,a64,필터교차,1,1,20,p77 [표]
kure-v1,a65,필터교차,1,1,19,p77 [표]
kure-v1,a66,필터교차,1,1,20,p77 [표]
kure-v1,a67,필터교차,1,1,27,3(보상내용) 제3항
kure-v1,a68,필터교차,1,1,21,제5조(적용 대상 등) [표]
kure-v1,a69,필터교차,1,1,28,3(보장종목별 보상내용) 제1항
kure-v1,a70,필터교차,1,1,19,제2조(정의) [표]
kure-v1,a71,필터교차,1,1,16,3(보장종목별 보상내용) 제8항
kure-v1,a72,필터교차,1,1,17,3(보장종목별 보상내용) 제1항
kure-v1,a73,필터교차2중,1,1,20,제3조(담보종목별 보장내용) [표]
kure-v1,a74,필터교차2중,1,1,25,3(보장종목별 보상내용) 제1항
kure-v1,a75,필터교차2중,1,1,28,4-1(보상하지 않는 사항) 제5항
kure-v1,a76,필터교차2중,1,1,26,3(보장종목별 보상내용) 제8항
kure-v1,a77,필터교차2중,1,1,23,제25조(주계약 약관 및 단체취급특약 규정의 준용) [표]
kure-v1,a78,필터교차2중,1,1,22,제3조(보장종목별 보상내용) 제1항
kure-v1,a79,필터교차2중,1,1,23,제3조(보장종목별 보상내용) 제3항
kure-v1,a80,필터교차2중,1,1,23,제3조(보장종목별 보상내용) [표]
e5-large,a01,조항지정,1,1,81,제3조(보장종목별 보상내용) [표]
e5-large,a02,조항지정,1,1,17,4(보상하지 않는 사항)
e5-large,a03,조항지정,1,2,16,14(사기에 의한 계약) 제2항 제48호
e5-large,a04,조항지정,1,1,16,제3조(보장종목별 보상내용) [표]
e5-large,a05,조항지정,1,3,21,제3조(담보종목별보장내용) [표]
e5-large,a06,조항지정,1,2,18,제3조(보장종목별 보상내용) [표]
e5-large,a07,조항지정,1,1,19,제3조(담보종목별보장내용) [표]
e5-large,a08,조항지정,1,2,18,제47조(예금보험에 의한 지급보장)
e5-large,a09,조항지정,1,1,17,제3조(계약재개에 관한 사항) 제10항
e5-large,a10,조항지정,0,-,18,제4조(보상하지 않는 사항) [표]
e5-large,a11,조항지정,1,3,20,제18조(주계약약관 및 단체취급특약규정의 준용) [표]
e5-large,a12,조항지정,1,1,20,제15조(알릴 의무 위반의 효과) [표]
e5-large,a13,조항지정,0,-,28,제29조(보험료의 납입연체로 인한 해지계약의 부활(효력회복) 제1항
e5-large,a14,조항지정,1,1,16,제51조(예금보험에 의한 지급보장) [표]
e5-large,a15,조항지정,1,1,16,제8조(보험금의 지급절차) 제1항
e5-large,a16,구어체,1,1,18,3(보장종목별 보상내용) 제1항
e5-large,a17,구어체,1,1,20,제5조(보험가입금액 한도 등) [표]
e5-large,a18,구어체,1,1,17,3(보장종목별 보상내용) 제1항
e5-large,a19,구어체,1,2,16,제26조(보험료의 납입을 연체하여 해지된 계약의 부활(효력 …) [표]
e5-large,a20,구어체,1,5,17,3(보장종목별 보상내용) 제1항
e5-large,a21,구어체,1,1,19,제2조(용어의 정의) 제다호
e5-large,a22,구어체,1,1,16,제3조(보상내용) 제4항
e5-large,a23,구어체,1,2,17,제13조(급여비용의 부담) 제7항 제2호
e5-large,a24,구어체,1,1,17,3(보장종목별 보상내용) 제1항
e5-large,a25,구어체,1,1,15,제3조(담보종목별보장내용) 제1항
e5-large,a26,구어체,1,1,17,제3조(의료기관) [표]
e5-large,a27,구어체,1,1,15,제3조(보장종목별 보상내용) [표]
e5-large,a28,구어체,1,1,15,3(보장종목별 보상내용) 제1항
e5-large,a29,구어체,1,1,17,제27조(보험료의납입을연체하여해지된계약의부활(효력회복) 제4항 제다호
e5-large,a30,구어체,1,3,18,제26조(계약의 보장내용 변경주기 및 재가입) 제9항
e5-large,a31,구어체,1,1,17,제5조(중요사항 변경에 관한 사항) 제1항
e5-large,a32,구어체,1,3,15,제46조(갱신계약 제1회 보험료의 납입최고(독촉)
e5-large,a33,구어체,1,1,14,제29조(계약자의임의해지) 제1항
e5-large,a34,구어체,1,1,18,제6조(보험금의 청구) 제1항
e5-large,a35,구어체,1,1,22,제6조(보험금의 청구) 제1항
e5-large,a36,구어체,0,-,19,제25조(계약의 보장내용 변경주기 및 재가입) 제1항
e5-large,a37,구어체,1,1,19,2(특별면책조건의 내용)
e5-large,a38,구어체,0,-,18,3(보장종목별 보상내용) 제1항
e5-large,a39,구어체,0,-,15,4(보상하지 않는 사항) 제5항
e5-large,a40,구어체,1,1,16,제6조(준용규정) [표]
e5-large,a41,구어체,1,1,16,제3조(보상내용) [표]
e5-large,a42,구어체,1,1,17,제4조(보상하지 않는 사항) 제3항 제14호
e5-large,a43,구어체,1,1,18,제4조(보상하지 않는 사항) 제3항 제14호
e5-large,a44,구어체,1,1,18,제3조(보상내용) [표]
e5-large,a45,구어체,1,1,18,제4조(보상하지않는사항) 제3항 제15호
e5-large,a46,구어체,1,1,21,제3조(보상하지 않는 사항) 제4항 제2호
e5-large,a47,구어체,1,2,20,p331 [표]
e5-large,a48,구어체,1,1,18,제3조(보장종목별 보상내용) 제1항
e5-large,a49,구어체,1,2,19,제13조(급여비용의 부담) 제7항 제2호
e5-large,a50,구어체,1,1,17,3(보장종목별 보상내용) 제1항
e5-large,a51,구어체,1,1,17,제3조(보장종목별 보상내용) [표]
e5-large,a52,표숫자,0,-,19,제3조(보장종목별보상내용) 제1항
e5-large,a53,표숫자,1,4,17,3(보장종목별 보상내용) 제1항
e5-large,a54,표숫자,1,4,17,3(보장종목별 보상내용) 제1항
e5-large,a55,표숫자,1,1,19,p18 [표]
e5-large,a56,표숫자,1,3,17,제6조(보험가입금액 한도 등) 제1항
e5-large,a57,필터교차,1,1,25,3(보장종목별 보상내용) 제5항
e5-large,a58,필터교차,1,1,18,4(보상하지 않는 사항) 제6항
e5-large,a59,필터교차,1,1,24,제4조(보상하지 않는 사항) 제3항 제1호
e5-large,a60,필터교차,1,1,21,제4조(보상하지 않는 사항) 제1항
e5-large,a61,필터교차,1,1,23,제4조(보상하지 않는 사항) 제1항
e5-large,a62,필터교차,1,1,20,제3조(담보종목별 보장내용) 제3항
e5-large,a63,필터교차,1,1,25,제4조(보상하지 않는 사항) 제1항
e5-large,a64,필터교차,1,1,22,p18 [표]
e5-large,a65,필터교차,1,1,20,제3조(담보종목별보장내용) 제1항
e5-large,a66,필터교차,1,1,20,p87 [표]
e5-large,a67,필터교차,1,1,25,p18 [표]
e5-large,a68,필터교차,1,1,21,3(보장종목별 보상내용) 제2항
e5-large,a69,필터교차,1,1,21,3(보장종목별 보상내용) 제5항
e5-large,a70,필터교차,1,1,21,제3조(보장종목별 보상내용) 제2항
e5-large,a71,필터교차,1,1,18,3(보장종목별 보상내용) 제1항
e5-large,a72,필터교차,1,1,17,3(보장종목별 보상내용) 제1항
e5-large,a73,필터교차2중,1,1,19,3(보장종목별 보상내용) 제3항
e5-large,a74,필터교차2중,1,1,21,3(보장종목별 보상내용) 제1항
e5-large,a75,필터교차2중,1,1,21,3(보장종목별 보상내용) 제5항
e5-large,a76,필터교차2중,1,1,22,3(보장종목별 보상내용) 제8항
e5-large,a77,필터교차2중,1,1,23,제4조(보상하지 않는 사항) 제1항
e5-large,a78,필터교차2중,1,1,23,제4조(보상하지 않는 사항) 제1항
e5-large,a79,필터교차2중,1,1,23,제3조(보장종목별 보상내용) 제8항
e5-large,a80,필터교차2중,1,1,23,제4조(보상하지 않는 사항) 제1항
