model,qid,type,hit@5,first_hit_rank,query_ms,top1_citation
bge-m3,a01,조항지정,1,3,117,제5조(특약에서 보상하는 사항) [표]
bge-m3,a02,조항지정,1,1,17,제3조(보상하지 않는 사항)
bge-m3,a03,조항지정,1,3,20,26(제1회 보험료 및 회사의 보장개시)
bge-m3,a04,조항지정,1,5,14,4(보상하지 않는 사항) 제7항
bge-m3,a05,조항지정,1,1,25,제3조(담보종목별 보장내용) [표]
bge-m3,a06,조항지정,1,3,15,제5조(특약에서 보상하는 사항) [표]
bge-m3,a07,조항지정,1,3,17,제3조(담보종목별 보장내용) [표]
bge-m3,a08,조항지정,1,1,16,제1조(용어의 정의)
bge-m3,a09,조항지정,1,1,14,제3조(계약재개에 관한 사항) 제10항
bge-m3,a10,조항지정,0,-,15,제3조(보상하지 않는 사항)
bge-m3,a11,조항지정,1,1,13,제25조(주계약 약관 및 단체취급특약 규정의 준용) [표]
bge-m3,a12,조항지정,1,5,20,제9조(상해보험계약 후 알릴 의무) [표]
bge-m3,a13,조항지정,0,-,22,제29조(보험료의 납입연체로 인한 해지계약의 부활(효력회복) 제1항
bge-m3,a14,조항지정,1,1,20,제51조(예금보험에 의한 지급보장) [표]
bge-m3,a15,조항지정,1,1,19,7(보험금의 지급절차) 제1항
bge-m3,a16,구어체,1,1,19,제3조(보장종목별보상내용) 제1항
bge-m3,a17,구어체,1,1,22,제21조(기타소득) [표]
bge-m3,a18,구어체,1,1,15,제3조(보상내용) [표]
bge-m3,a19,구어체,1,1,15,제37조(보험계약대출) [표]
bge-m3,a20,구어체,1,4,14,제7조(보험가입금액 한도 등에 대한 설명 의무) [표]
bge-m3,a21,구어체,1,5,19,제7조(보험가입금액 한도 등에 대한 설명 의무) [표]
bge-m3,a22,구어체,1,1,19,제1조(보장종목) [표]
bge-m3,a23,구어체,1,1,15,제3조(담보종목별보장내용) 제1항
bge-m3,a24,구어체,1,1,15,제3조(담보종목별 보장내용) [표]
bge-m3,a25,구어체,1,1,14,제3조(보장종목별 보상내용) 제1항
bge-m3,a26,구어체,1,1,15,제3조(의료기관) [표]
bge-m3,a27,구어체,1,1,16,제3조(의료기관) [표]
bge-m3,a28,구어체,1,1,19,제3조(담보종목별 보장내용) [표]
bge-m3,a29,구어체,1,2,21,제13조(급여비용의 부담) [표]
bge-m3,a30,구어체,1,2,21,제25조(계약의 보장내용 변경주기 및 재가입) 제8항
bge-m3,a31,구어체,1,1,17,제44조(계약의갱신및보험기간) 제1항
bge-m3,a32,구어체,1,1,24,제29조(계약자의임의해지) 제1항
bge-m3,a33,구어체,1,2,26,제46조(갱신계약 제1회 보험료의 납입최고(독촉)
bge-m3,a34,구어체,1,2,20,7(보험금의 지급절차) 제1항
bge-m3,a35,구어체,1,1,17,제6조(보험금의 청구) 제1항
bge-m3,a36,구어체,0,-,19,제25조(계약의 보장내용 변경주기 및 재가입) 제1항
bge-m3,a37,구어체,0,-,19,제18조(보험금 지급에 관한 세부규정) 제1항
bge-m3,a38,구어체,0,-,16,4(보상하지 않는 사항) 제4항
bge-m3,a39,구어체,0,-,13,제13조(보건지소의 설치) [표]
bge-m3,a40,구어체,1,1,16,p31 [표]
bge-m3,a41,구어체,1,1,14,제3조(보상내용) 제1항
bge-m3,a42,구어체,1,1,15,제3조(보장종목별 보상내용) [표]
bge-m3,a43,구어체,0,-,15,p17 [표]
bge-m3,a44,구어체,1,1,15,p31 [표]
bge-m3,a45,구어체,1,1,15,p31 [표]
bge-m3,a46,구어체,1,1,16,p19 [표]
bge-m3,a47,구어체,1,3,15,p331 [표]
bge-m3,a48,구어체,1,1,15,p19 [표]
bge-m3,a49,구어체,1,5,13,p27 [표]
bge-m3,a50,구어체,1,1,15,제3조(보장종목별 보상내용) [표]
bge-m3,a51,구어체,1,1,14,제3조(보장종목별 보상내용) [표]
bge-m3,a52,표숫자,1,1,14,제21조(기타소득) [표]
bge-m3,a53,표숫자,1,1,16,제37조(보험계약대출) [표]
bge-m3,a54,표숫자,1,1,14,p14 [표]
bge-m3,a55,표숫자,1,2,15,제3조(보장종목별 보상내용) 제1항
bge-m3,a56,표숫자,0,-,16,제9조(준용규정) [표]
bge-m3,a57,필터교차,1,1,18,3(보장종목별 보상내용) 제8항
bge-m3,a58,필터교차,1,1,19,p18 [표]
bge-m3,a59,필터교차,1,1,20,제1조(보장종목) [표]
bge-m3,a60,필터교차,1,1,18,제3조(담보종목별 보장내용) [표]
bge-m3,a61,필터교차,1,1,21,제3조(보장종목별 보상내용) 제3항
bge-m3,a62,필터교차,1,1,20,제3조(담보종목별 보장내용) [표]
bge-m3,a63,필터교차,1,1,25,제3조(담보종목별보장내용) [표]
bge-m3,a64,필터교차,1,1,29,제3조(담보종목별보장내용) [표]
bge-m3,a65,필터교차,1,1,26,p77 [표]
bge-m3,a66,필터교차,1,1,26,제3조(담보종목별보장내용) [표]
bge-m3,a67,필터교차,1,1,35,p18 [표]
bge-m3,a68,필터교차,1,1,28,제3조(보장종목별 보상내용) 제1항
bge-m3,a69,필터교차,1,1,17,3(보장종목별 보상내용) 제1항
bge-m3,a70,필터교차,1,1,23,제6조(보험가입금액 한도 등) [표]
bge-m3,a71,필터교차,1,1,15,제3조(보장종목별 보상내용) 제1항
bge-m3,a72,필터교차,1,1,16,3(보장종목별 보상내용) 제1항
bge-m3,a73,필터교차2중,1,1,18,제3조(담보종목별 보장내용) [표]
bge-m3,a74,필터교차2중,1,1,20,3(보장종목별 보상내용) 제1항
bge-m3,a75,필터교차2중,1,1,19,3(보장종목별 보상내용) 제1항
bge-m3,a76,필터교차2중,1,1,17,3(보장종목별 보상내용) 제8항
bge-m3,a77,필터교차2중,1,1,18,제3조(담보종목별 보장내용) [표]
bge-m3,a78,필터교차2중,1,1,20,제3조(보장종목별 보상내용) 제1항
bge-m3,a79,필터교차2중,1,1,19,제3조(보장종목별 보상내용) 제3항
bge-m3,a80,필터교차2중,1,1,21,제3조(담보종목별보장내용) [표]
kure-v1,a01,조항지정,1,4,96,제5조(특약에서 보상하는 사항) [표]
kure-v1,a02,조항지정,1,1,22,제3조(보상하지 않는 사항)
kure-v1,a03,조항지정,0,-,19,26(제1회 보험료 및 회사의 보장개시)
kure-v1,a04,조항지정,1,3,21,제5조(특약에서 보상하는 사항) [표]
kure-v1,a05,조항지정,1,1,17,제3조(담보종목별 보장내용) [표]
kure-v1,a06,조항지정,0,-,18,제5조(특약에서 보상하는 사항) [표]
kure-v1,a07,조항지정,1,5,17,제3조(담보종목별 보장내용) [표]
kure-v1,a08,조항지정,1,1,16,제1조(용어의 정의)
kure-v1,a09,조항지정,1,2,16,제2조(계약중지에 관한 사항) 제7항
kure-v1,a10,조항지정,0,-,19,제3조(보상하지 않는 사항)
