model,qid,type,hit@5,first_hit_rank,query_ms
granite-311m,a01,조항지정,1,2,239
granite-311m,a02,조항지정,1,1,99
granite-311m,a03,조항지정,1,1,91
granite-311m,a04,조항지정,0,-,109
granite-311m,a05,조항지정,0,-,140
granite-311m,a06,조항지정,1,1,131
granite-311m,a07,조항지정,0,-,234
granite-311m,a08,조항지정,1,1,121
granite-311m,a09,조항지정,1,1,113
granite-311m,a10,조항지정,0,-,140
granite-311m,a11,조항지정,1,1,104
granite-311m,a12,조항지정,1,1,121
granite-311m,a13,조항지정,1,1,112
granite-311m,a14,조항지정,1,2,126
granite-311m,a15,구어체,1,1,133
granite-311m,a16,구어체,1,1,112
granite-311m,a17,구어체,1,1,100
granite-311m,a18,구어체,1,1,120
granite-311m,a19,구어체,0,-,113
granite-311m,a20,구어체,0,-,106
granite-311m,a21,구어체,1,1,95
granite-311m,a22,구어체,1,1,112
granite-311m,a23,표숫자,1,4,123
granite-311m,a24,필터교차,0,-,139
granite-311m,a25,필터교차,1,5,97
granite-311m,a26,필터교차,0,-,101
granite-311m,a27,필터교차,1,1,100
granite-311m,a28,필터교차,0,-,103
granite-311m,a29,필터교차,0,-,105
granite-311m,a30,필터교차,0,-,98
granite-311m,a31,필터교차,0,-,98
granite-311m,a32,필터교차,1,2,109
granite-311m,a33,필터교차,1,1,129
granite-311m,a34,필터교차,1,3,141
granite-311m,a35,필터교차2중,1,1,128
granite-311m,a36,필터교차2중,1,2,115
granite-311m,a37,필터교차2중,1,2,105
granite-311m,a38,필터교차2중,1,1,106
granite-311m,a39,필터교차2중,1,5,108
granite-311m,a40,필터교차2중,0,-,104
granite-311m,a41,필터교차2중,1,1,138
granite-311m,a42,필터교차2중,1,1,119
granite-311m,a43,필터교차2중,0,-,106
granite-311m,a44,필터교차2중,1,1,108
ko-sroberta,a01,조항지정,0,-,170
ko-sroberta,a02,조항지정,1,3,64
ko-sroberta,a03,조항지정,0,-,55
ko-sroberta,a04,조항지정,1,4,50
ko-sroberta,a05,조항지정,1,1,54
ko-sroberta,a06,조항지정,1,5,57
ko-sroberta,a07,조항지정,1,1,57
ko-sroberta,a08,조항지정,1,1,50
ko-sroberta,a09,조항지정,1,1,61
ko-sroberta,a10,조항지정,0,-,59
ko-sroberta,a11,조항지정,0,-,80
ko-sroberta,a12,조항지정,1,1,71
ko-sroberta,a13,조항지정,1,5,79
ko-sroberta,a14,조항지정,0,-,88
ko-sroberta,a15,구어체,1,1,87
ko-sroberta,a16,구어체,1,1,57
ko-sroberta,a17,구어체,1,1,59
ko-sroberta,a18,구어체,1,1,65
ko-sroberta,a19,구어체,0,-,58
ko-sroberta,a20,구어체,0,-,53
ko-sroberta,a21,구어체,1,4,57
ko-sroberta,a22,구어체,1,4,55
ko-sroberta,a23,표숫자,0,-,62
ko-sroberta,a24,필터교차,0,-,57
ko-sroberta,a25,필터교차,0,-,71
ko-sroberta,a26,필터교차,0,-,70
ko-sroberta,a27,필터교차,0,-,73
ko-sroberta,a28,필터교차,1,3,64
ko-sroberta,a29,필터교차,0,-,58
ko-sroberta,a30,필터교차,0,-,61
ko-sroberta,a31,필터교차,0,-,60
ko-sroberta,a32,필터교차,0,-,61
ko-sroberta,a33,필터교차,1,4,58
ko-sroberta,a34,필터교차,1,1,57
ko-sroberta,a35,필터교차2중,1,1,72
ko-sroberta,a36,필터교차2중,1,4,84
ko-sroberta,a37,필터교차2중,0,-,61
ko-sroberta,a38,필터교차2중,1,4,63
ko-sroberta,a39,필터교차2중,1,1,59
ko-sroberta,a40,필터교차2중,0,-,65
ko-sroberta,a41,필터교차2중,0,-,76
ko-sroberta,a42,필터교차2중,1,2,76
ko-sroberta,a43,필터교차2중,1,3,74
ko-sroberta,a44,필터교차2중,1,1,78
